run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
54;238.956266857;-5221;-4997;-4983;40;20
53;297.717731589;-5411;-4717;-4781;36;18
62;309.774456466;-5049;-4373;-4534;42;21
0;505.426672527;-5493;-4125;-3727;56;28
12;567.097950785;-5726;-5170;-2664;66;33
63;390.276181678;-6054;-4953;-2936;48;24
87;775.961059533;-6189;-3920;-1754;60;30
25;808.497997008;-6101;-3598;-1198;60;30
93;884.331778075;-6072;-4928;-1198;72;36
50;904.512152035;-5968;-4489;-1416;72;36
96;911.85653699;-6246;-3993;-1185;80;40
98;631.051382326;-5743;-4768;-3071;68;34
37;963.342592211;-6272;-3341;-667;68;34
13;430.60009752;-5738;-4390;-2697;44;22
1;499.04680988;-5587;-4829;-3244;48;24
94;312.474730301;-5449;-5106;-4316;48;24
99;329.879036711;-4969;-4364;-4286;38;19
31;1265.266620362;-6318;-5164;-551;92;46
75;1280.203120193;-6326;-2017;-599;74;37
55;1112.307839845;-6181;-3290;-909;76;38
26;578.504937958;-5118;-3912;-2960;56;28
27;124.73439333;-4488;-4394;-6099;30;15
32;285.483963145;-5343;-4784;-4483;52;26
28;127.015440347;-5109;-4629;-5674;30;15
14;652.794398709;-5781;-3798;-2187;50;25
97;787.188946852;-5673;-4049;-2183;76;38
2;757.231818576;-5952;-5534;-1334;78;39
56;1781.452970547;-6482;-3619;-266;106;53
51;971.248965107;-6240;-3945;-877;80;40
64;1229.981451911;-6279;-4915;-818;84;42
88;1170.868885746;-6483;-1606;-142;56;28
76;758.885705626;-6164;-4280;-1173;58;29
38;1166.704617626;-6189;-5061;-1119;98;49
52;269.319092294;-4959;-3736;-3914;34;17
71;466.631935474;-5234;-4545;-3895;54;27
68;825.276594767;-6015;-4836;-1298;76;38
3;483.854758154;-5569;-3636;-3326;46;23
15;628.485707573;-6237;-2324;-1049;40;20
77;248.0884983;-4902;-4128;-5110;40;20
16;124.138589504;-4982;-4744;-6048;30;15
90;280.353787257;-5374;-4803;-4344;48;24
95;1249.134274233;-6340;-1212;-308;66;33
72;304.22818202;-5304;-4360;-3998;40;20
69;322.679561993;-5278;-4381;-4012;54;27
65;652.542935947;-5822;-3996;-2886;58;29
81;1373.546807876;-6416;-1883;-394;74;37
78;378.600163897;-5728;-4443;-3424;40;20
6;348.611125335;-5679;-4229;-2779;48;24
89;857.509327321;-5941;-3438;-1286;70;35
57;1083.083730803;-6106;-4207;-1855;86;43
4;642.775568488;-6061;-5168;-1567;64;32
29;1249.869641577;-6065;-4596;-738;106;53
17;489.901792245;-5847;-5138;-2353;60;30
39;767.132912886;-6141;-5231;-1344;82;41
43;199.33964165;-5030;-4373;-5341;38;19
30;119.90852231;-4389;-4480;-5844;36;18
33;1527.935352889;-6322;-2633;-276;90;45
91;669.827019805;-5857;-3548;-2485;50;25
7;340.237064288;-5668;-4911;-3572;42;21
58;272.380859803;-5108;-4107;-4523;40;20
40;258.33238484;-5087;-4347;-4922;56;28
73;718.769729627;-6038;-4234;-1527;66;33
5;318.677304552;-5475;-4868;-4311;44;22
66;654.578761684;-6441;-720;-175;30;15
18;438.434047835;-5615;-5634;-2930;64;32
8;301.370543172;-5236;-4500;-4315;44;22
70;977.413102325;-6370;-5841;-1002;88;44
34;434.310869331;-5809;-5253;-2766;58;29
92;457.002845205;-5320;-4500;-3240;50;25
59;535.606569634;-6052;-3319;-1849;52;26
67;668.240474149;-5925;-4071;-1744;60;30
79;1054.037985843;-6071;-5753;-1415;106;53
44;746.57005731;-6134;-2876;-1459;54;27
35;579.616392915;-5025;-4430;-2651;60;30
19;479.249792179;-5967;-5371;-2431;58;29
9;376.345811954;-5383;-3811;-3450;48;24
61;120.824031294;-4609;-4470;-6131;32;16
80;451.665590061;-5101;-3910;-3430;46;23
42;377.838146237;-5440;-4428;-4014;40;20
36;521.431274314;-6021;-5069;-2124;56;28
60;944.264548642;-6420;-5940;-543;86;43
74;1002.089420946;-6033;-5059;-1237;80;40
20;432.125004802;-5816;-3413;-2268;44;22
46;524.383472597;-5484;-4728;-2774;62;31
45;620.24227577;-6129;-3137;-1299;48;24
11;389.084597473;-5626;-3492;-2851;32;16
21;1054.02001951;-6313;-4525;-741;90;45
84;793.552033798;-6108;-3994;-1560;64;32
48;426.817277025;-5700;-4048;-2944;52;26
49;463.675949878;-5456;-4745;-3652;56;28
86;674.515470331;-5828;-3070;-1823;58;29
10;946.587658039;-5621;-4504;-2604;84;42
82;2111.057451468;-6494;-5038;-148;126;63
23;1170.769395371;-6397;-2578;-462;72;36
22;540.377140603;-6032;-4052;-1689;48;24
85;1312.653428553;-6191;-5055;-728;98;49
47;1070.163166722;-6502;-1263;-97;60;30
41;2279.718224255;-6459;-4134;-126;142;71
24;1488.026836449;-6550;-2407;-121;88;44
83;971.581670667;-6255;-3208;-864;74;37
