run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
38;6317.057226357;-5967;-3350;-2491;32;16;../results/snrpa_100_3_1_50_100_os//solve38_sequences.csv
94;4984.869323794;-5506;-3165;-3063;26;13;../results/snrpa_100_3_1_50_100_os//solve94_sequences.csv
82;8713.616340563;-6341;-2025;-1208;36;18;../results/snrpa_100_3_1_50_100_os//solve82_sequences.csv
33;6514.741327565;-5898;-2133;-2077;26;13;../results/snrpa_100_3_1_50_100_os//solve33_sequences.csv
7;5747.765676308;-5931;-3444;-2802;30;15;../results/snrpa_100_3_1_50_100_os//solve7_sequences.csv
69;7282.83123682;-6041;-1519;-1297;28;14;../results/snrpa_100_3_1_50_100_os//solve69_sequences.csv
96;8762.175757287;-6523;-311;-98;24;12;../results/snrpa_100_3_1_50_100_os//solve96_sequences.csv
8;4549.886753552;-5453;-4027;-4196;50;25;../results/snrpa_100_3_1_50_100_os//solve8_sequences.csv
95;5749.341863169;-5686;-2315;-2504;26;13;../results/snrpa_100_3_1_50_100_os//solve95_sequences.csv
57;7351.687343304;-5972;-2857;-1782;42;21;../results/snrpa_100_3_1_50_100_os//solve57_sequences.csv
39;7670.977745591;-6261;-889;-665;28;14;../results/snrpa_100_3_1_50_100_os//solve39_sequences.csv
83;7474.92646229;-6127;-2460;-889;54;27;../results/snrpa_100_3_1_50_100_os//solve83_sequences.csv
34;8130.716533431;-6404;-584;-359;24;12;../results/snrpa_100_3_1_50_100_os//solve34_sequences.csv
70;6700.024926543;-5877;-2851;-2080;48;24;../results/snrpa_100_3_1_50_100_os//solve70_sequences.csv
97;8403.761106613;-6454;-335;-198;20;10;../results/snrpa_100_3_1_50_100_os//solve97_sequences.csv
40;6532.726714587;-5988;-2498;-1949;38;19;../results/snrpa_100_3_1_50_100_os//solve40_sequences.csv
9;7732.050787918;-6259;-1419;-908;24;12;../results/snrpa_100_3_1_50_100_os//solve9_sequences.csv
59;7651.906030236;-6386;-738;-392;22;11;../results/snrpa_100_3_1_50_100_os//solve59_sequences.csv
58;7921.453133957;-6528;-1522;-128;70;35;../results/snrpa_100_3_1_50_100_os//solve58_sequences.csv
84;6922.28408518;-6227;-1856;-1417;26;13;../results/snrpa_100_3_1_50_100_os//solve84_sequences.csv
71;6210.493961716;-5752;-1381;-1507;24;12;../results/snrpa_100_3_1_50_100_os//solve71_sequences.csv
98;4866.400784018;-5552;-2961;-3234;28;14;../results/snrpa_100_3_1_50_100_os//solve98_sequences.csv
35;7324.75317579;-6085;-2382;-1632;52;26;../results/snrpa_100_3_1_50_100_os//solve35_sequences.csv
41;6077.341167267;-5757;-2584;-2234;26;13;../results/snrpa_100_3_1_50_100_os//solve41_sequences.csv
60;6152.407519677;-5862;-3725;-2186;72;36;../results/snrpa_100_3_1_50_100_os//solve60_sequences.csv
10;8322.660655075;-6271;-1731;-494;100;50;../results/snrpa_100_3_1_50_100_os//solve10_sequences.csv
36;5337.944487947;-5556;-2863;-3290;26;13;../results/snrpa_100_3_1_50_100_os//solve36_sequences.csv
85;7604.007938359;-6099;-1660;-1143;30;15;../results/snrpa_100_3_1_50_100_os//solve85_sequences.csv
61;8379.544147815;-6412;-823;-448;28;14;../results/snrpa_100_3_1_50_100_os//solve61_sequences.csv
72;8458.271373058;-6488;-434;-207;24;12;../results/snrpa_100_3_1_50_100_os//solve72_sequences.csv
73;4780.792260771;-5635;-2997;-3372;36;18;../results/snrpa_100_3_1_50_100_os//solve73_sequences.csv
42;6171.301142034;-5725;-2671;-2650;28;14;../results/snrpa_100_3_1_50_100_os//solve42_sequences.csv
99;9151.810061442;-6472;-1253;-513;38;19;../results/snrpa_100_3_1_50_100_os//solve99_sequences.csv
46;4209.218326239;-5663;-3395;-4090;28;14;../results/snrpa_100_3_1_50_100_os//solve46_sequences.csv
48;4022.253152944;-5438;-3134;-3895;28;14;../results/snrpa_100_3_1_50_100_os//solve48_sequences.csv
11;7746.3484557;-6300;-3876;-1065;98;49;../results/snrpa_100_3_1_50_100_os//solve11_sequences.csv
74;7750.468893987;-6019;-1534;-1310;40;20;../results/snrpa_100_3_1_50_100_os//solve74_sequences.csv
86;7374.532950514;-6053;-2209;-1332;36;18;../results/snrpa_100_3_1_50_100_os//solve86_sequences.csv
43;7441.447714123;-6311;-2005;-1312;34;17;../results/snrpa_100_3_1_50_100_os//solve43_sequences.csv
49;6345.101818856;-6145;-1455;-1031;28;14;../results/snrpa_100_3_1_50_100_os//solve49_sequences.csv
47;4455.561169199;-6047;-2455;-1906;48;24;../results/snrpa_100_3_1_50_100_os//solve47_sequences.csv
44;3707.957515377;-5404;-3015;-3168;26;13;../results/snrpa_100_3_1_50_100_os//solve44_sequences.csv
45;5992.289639778;-6494;-1055;-389;30;15;../results/snrpa_100_3_1_50_100_os//solve45_sequences.csv
