run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
26;0.018545719;-5289;-4411;-1775;144;36
123;0.017101841;-6246;-5454;-946;172;43
91;0.015962527;-5965;-3097;-660;152;38
124;0.013577924;-6408;-1581;-195;128;32
157;0.020976302;-5624;-5262;-1293;288;72
27;0.024292307;-5603;-5477;-1649;140;35
187;0.016819051;-5978;-4828;-915;124;31
92;0.02218569;-4919;-3673;-1956;152;38
158;0.019754749;-5928;-4646;-683;228;57
28;0.014485454;-6325;-4591;-601;136;34
31;0.01621067;-5874;-5268;-1313;184;46
159;0.016123323;-5482;-3966;-1374;164;41
29;0.016675559;-6151;-3432;-712;144;36
188;0.038401298;-6136;-3841;-536;280;70
32;0.0222709;-6211;-4135;-497;184;46
160;0.022937796;-5432;-4555;-1715;160;40
30;0.026068753;-6278;-3196;-401;284;71
189;0.016359754;-5530;-5059;-2185;104;26
33;0.024242184;-6551;-2862;-26;392;98
171;0.018334538;-5906;-5207;-1041;176;44
190;0.02682227;-6300;-4282;-744;132;33
34;0.020814537;-5523;-4927;-1855;104;26
172;0.015825652;-5675;-4773;-2513;192;48
191;0.010953426;-5810;-3864;-1570;112;28
161;0.047478465;-5849;-4523;-1073;372;93
173;0.008966708;-4694;-4225;-3154;92;23
35;0.012474463;-5941;-4957;-1538;140;35
192;0.014977675;-5852;-4244;-1027;156;39
174;0.024482731;-6366;-5298;-441;264;66
162;0.030542921;-5814;-5219;-1440;264;66
36;0.031390537;-6290;-4353;-316;208;52
193;0.024688063;-5855;-5299;-879;296;74
175;0.015857715;-5614;-5230;-1552;152;38
163;0.010768516;-5511;-5335;-2340;168;42
37;0.010757651;-6575;-49;-3;44;11
194;0.013314823;-5185;-4581;-2190;124;31
38;0.018732284;-5492;-4323;-1622;144;36
176;0.027421856;-6075;-5225;-526;204;51
164;0.028520993;-6139;-4623;-710;244;61
195;0.026496798;-6228;-4089;-679;212;53
39;0.016404619;-5595;-4466;-1789;96;24
165;0.014283474;-5271;-4673;-2287;128;32
177;0.020508476;-6287;-5382;-621;304;76
40;0.018613974;-6021;-2983;-610;144;36
196;0.021762314;-5640;-4166;-1463;92;23
166;0.019591677;-5238;-4938;-2902;88;22
178;0.016959718;-5518;-4540;-1604;128;32
167;0.012989494;-5958;-3177;-859;124;31
179;0.012221671;-5946;-4502;-1329;116;29
41;0.019841772;-6019;-4699;-606;268;67
197;0.020842143;-5637;-4914;-1690;220;55
198;0.018216282;-5847;-4409;-971;156;39
42;0.021809588;-5721;-4048;-1240;176;44
180;0.026839168;-5865;-4770;-767;212;53
43;0.0110204;-5949;-3516;-618;116;29
199;0.02071808;-6280;-3358;-363;256;64
181;0.022177197;-5624;-4707;-1566;152;38
44;0.014687242;-5588;-4355;-2075;144;36
168;0.056726962;-6291;-4288;-582;304;76
200;0.020830026;-6356;-4996;-365;152;38
45;0.015935138;-5868;-4988;-1292;140;35
182;0.022247416;-6081;-3250;-972;112;28
169;0.016844643;-6054;-4952;-518;252;63
46;0.012391783;-6211;-2703;-433;132;33
201;0.017960025;-6211;-4992;-416;220;55
183;0.012422972;-5479;-5269;-2254;120;30
170;0.014790589;-5307;-4896;-1969;140;35
202;0.019385099;-4621;-4282;-2809;140;35
185;0.013518623;-5823;-4514;-1383;104;26
184;0.018637261;-5520;-4916;-1536;156;39
47;0.030192766;-6354;-2893;-274;236;59
203;0.010916408;-5572;-4712;-1882;152;38
218;0.014893708;-6294;-3851;-533;140;35
48;0.015194998;-6093;-4520;-486;176;44
186;0.022459697;-6468;-2833;-134;244;61
219;0.022039633;-5753;-5129;-1960;112;28
204;0.030166888;-6157;-3838;-647;204;51
210;0.01922031;-5053;-4054;-2666;84;21
49;0.028951713;-6360;-2489;-153;196;49
220;0.014978145;-6234;-2416;-361;184;46
211;0.013205842;-5954;-4792;-810;172;43
205;0.022483462;-6204;-4346;-333;200;50
212;0.01538427;-5287;-4729;-2180;112;28
221;0.026588413;-5957;-3190;-762;152;38
213;0.011744542;-5798;-5419;-1096;136;34
50;0.033729335;-6279;-4770;-201;260;65
206;0.024120708;-6439;-4627;-229;344;86
214;0.012886294;-6209;-3934;-519;144;36
222;0.018308859;-6435;-4785;-195;236;59
215;0.019113302;-5768;-4345;-1618;152;38
51;0.029716267;-5830;-4936;-1228;176;44
223;0.01906892;-6081;-4172;-972;164;41
207;0.030032251;-5577;-4759;-2445;124;31
52;0.014503791;-5572;-4665;-1905;104;26
216;0.017372836;-6551;-1077;-39;152;38
224;0.014350704;-6052;-5359;-686;164;41
208;0.028422614;-6369;-5087;-274;216;54
53;0.019146727;-5642;-4489;-1817;180;45
217;0.020130126;-6328;-3478;-366;132;33
225;0.024056128;-5813;-4564;-1311;128;32
209;0.015658364;-6008;-4605;-885;204;51
54;0.014817539;-5533;-4709;-1765;228;57
226;0.013711029;-5728;-4576;-1174;212;53
234;0.017991898;-6057;-3052;-688;152;38
230;0.016140455;-6001;-5627;-1549;240;60
55;0.028494344;-6498;-448;-89;80;20
231;0.020943242;-6073;-3827;-1295;124;31
227;0.031531001;-5741;-3406;-946;216;54
235;0.032533;-6306;-4720;-511;172;43
56;0.012503031;-5897;-4161;-924;176;44
232;0.012617493;-6174;-3777;-810;148;37
236;0.013673411;-6049;-3152;-916;128;32
228;0.015398993;-5512;-5046;-1304;132;33
233;0.015162544;-6349;-2357;-336;144;36
57;0.02356249;-6208;-5105;-767;196;49
229;0.017249048;-6387;-5941;-271;320;80
237;0.02627126;-6325;-5746;-270;336;84
58;0.016140329;-5842;-5171;-1225;180;45
242;0.013159331;-5486;-4712;-2558;92;23
60;0.015352094;-4742;-4018;-2553;96;24
59;0.019968554;-6028;-5671;-1201;144;36
61;0.01984442;-5634;-4145;-1301;160;40
243;0.030048307;-6282;-5424;-653;204;51
238;0.032145924;-6338;-5597;-274;280;70
240;0.015398403;-6347;-3467;-232;204;51
244;0.014809256;-6061;-3518;-744;220;55
241;0.019536063;-5839;-5503;-1096;224;56
239;0.023414164;-5424;-3272;-1856;104;26
246;0.026581699;-5336;-4932;-1772;164;41
249;0.013941189;-5601;-5395;-1375;224;56
248;0.024104839;-6012;-4825;-969;168;42
247;0.012831011;-6009;-5532;-1360;184;46
245;0.032125551;-6363;-4863;-246;372;93
