run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
50;308.094234086;-4693;-3820;-5329;38;19;../results/snrpa_100_2_1_100_100_os//solve50_sequences.csv
75;342.136616452;-4934;-3291;-4770;34;17;../results/snrpa_100_2_1_100_100_os//solve75_sequences.csv
25;351.962531804;-5787;-3874;-4329;28;14;../results/snrpa_100_2_1_100_100_os//solve25_sequences.csv
6;668.413659776;-6253;-853;-510;24;12;../results/snrpa_100_2_1_100_100_os//solve6_sequences.csv
37;692.751522782;-6033;-2323;-1483;54;27;../results/snrpa_100_2_1_100_100_os//solve37_sequences.csv
0;718.413186537;-6345;-3009;-1291;52;26;../results/snrpa_100_2_1_100_100_os//solve0_sequences.csv
62;790.338752492;-6517;-341;-97;26;13;../results/snrpa_100_2_1_100_100_os//solve62_sequences.csv
12;900.582554535;-6306;-1238;-317;48;24;../results/snrpa_100_2_1_100_100_os//solve12_sequences.csv
76;579.390470849;-5800;-1367;-1137;28;14;../results/snrpa_100_2_1_100_100_os//solve76_sequences.csv
26;582.679874812;-5883;-4449;-2621;70;35;../results/snrpa_100_2_1_100_100_os//solve26_sequences.csv
51;660.945156358;-6190;-1326;-692;32;16;../results/snrpa_100_2_1_100_100_os//solve51_sequences.csv
7;379.381501787;-5542;-3976;-4377;32;16;../results/snrpa_100_2_1_100_100_os//solve7_sequences.csv
1;519.805387798;-5786;-2516;-2079;42;21;../results/snrpa_100_2_1_100_100_os//solve1_sequences.csv
63;604.538373229;-6064;-2858;-2103;64;32;../results/snrpa_100_2_1_100_100_os//solve63_sequences.csv
38;781.829178881;-6243;-4546;-1304;98;49;../results/snrpa_100_2_1_100_100_os//solve38_sequences.csv
13;605.097950361;-6087;-2549;-1879;38;19;../results/snrpa_100_2_1_100_100_os//solve13_sequences.csv
52;549.424350344;-5770;-3285;-2848;34;17;../results/snrpa_100_2_1_100_100_os//solve52_sequences.csv
2;351.218421879;-4656;-4109;-5110;68;34;../results/snrpa_100_2_1_100_100_os//solve2_sequences.csv
77;677.274045926;-6115;-2450;-1298;46;23;../results/snrpa_100_2_1_100_100_os//solve77_sequences.csv
8;683.12422773;-6393;-387;-206;26;13;../results/snrpa_100_2_1_100_100_os//solve8_sequences.csv
27;798.788236875;-6517;-389;-175;26;13;../results/snrpa_100_2_1_100_100_os//solve27_sequences.csv
53;471.294839544;-5847;-4099;-3240;54;27;../results/snrpa_100_2_1_100_100_os//solve53_sequences.csv
39;689.308839466;-6266;-2639;-1311;38;19;../results/snrpa_100_2_1_100_100_os//solve39_sequences.csv
3;588.99973929;-6014;-3325;-2069;54;27;../results/snrpa_100_2_1_100_100_os//solve3_sequences.csv
78;644.766646094;-6106;-2334;-1504;42;21;../results/snrpa_100_2_1_100_100_os//solve78_sequences.csv
28;580.855104789;-5992;-1663;-1393;28;14;../results/snrpa_100_2_1_100_100_os//solve28_sequences.csv
14;850.312520557;-6395;-1516;-541;48;24;../results/snrpa_100_2_1_100_100_os//solve14_sequences.csv
64;984.711437158;-6466;-1393;-509;36;18;../results/snrpa_100_2_1_100_100_os//solve64_sequences.csv
9;678.526479394;-6321;-834;-492;28;14;../results/snrpa_100_2_1_100_100_os//solve9_sequences.csv
54;562.63405316;-5746;-2983;-2209;46;23;../results/snrpa_100_2_1_100_100_os//solve54_sequences.csv
40;532.169540239;-5410;-2971;-2822;38;19;../results/snrpa_100_2_1_100_100_os//solve40_sequences.csv
79;475.464169104;-5244;-3130;-3422;42;21;../results/snrpa_100_2_1_100_100_os//solve79_sequences.csv
29;693.596656098;-5959;-2268;-1501;34;17;../results/snrpa_100_2_1_100_100_os//solve29_sequences.csv
65;644.365691766;-6147;-1831;-965;30;15;../results/snrpa_100_2_1_100_100_os//solve65_sequences.csv
15;680.702482304;-5868;-1850;-1115;36;18;../results/snrpa_100_2_1_100_100_os//solve15_sequences.csv
10;644.547006233;-6057;-1854;-1490;30;15;../results/snrpa_100_2_1_100_100_os//solve10_sequences.csv
4;1000.692223453;-6416;-2976;-392;146;73;../results/snrpa_100_2_1_100_100_os//solve4_sequences.csv
55;750.988336096;-6167;-1484;-820;58;29;../results/snrpa_100_2_1_100_100_os//solve55_sequences.csv
80;720.256739617;-6154;-3429;-1807;54;27;../results/snrpa_100_2_1_100_100_os//solve80_sequences.csv
41;855.295113869;-6435;-1638;-621;48;24;../results/snrpa_100_2_1_100_100_os//solve41_sequences.csv
11;561.323098751;-5751;-2662;-2343;42;21;../results/snrpa_100_2_1_100_100_os//solve11_sequences.csv
5;584.746406688;-5981;-3601;-2183;70;35;../results/snrpa_100_2_1_100_100_os//solve5_sequences.csv
66;837.651687517;-6529;-1166;-352;32;16;../results/snrpa_100_2_1_100_100_os//solve66_sequences.csv
16;838.704383062;-6381;-882;-463;28;14;../results/snrpa_100_2_1_100_100_os//solve16_sequences.csv
30;868.120395561;-6307;-3022;-727;86;43;../results/snrpa_100_2_1_100_100_os//solve30_sequences.csv
42;407.062719104;-5363;-3713;-3837;40;20;../results/snrpa_100_2_1_100_100_os//solve42_sequences.csv
68;402.385928147;-5464;-3818;-4118;28;14;../results/snrpa_100_2_1_100_100_os//solve68_sequences.csv
56;747.860365734;-6179;-1797;-845;46;23;../results/snrpa_100_2_1_100_100_os//solve56_sequences.csv
67;501.908004676;-5747;-2694;-2655;28;14;../results/snrpa_100_2_1_100_100_os//solve67_sequences.csv
81;830.882329372;-6262;-2373;-877;66;33;../results/snrpa_100_2_1_100_100_os//solve81_sequences.csv
34;514.074107754;-5800;-2744;-2448;30;15;../results/snrpa_100_2_1_100_100_os//solve34_sequences.csv
17;648.408623107;-6104;-1853;-1415;26;13;../results/snrpa_100_2_1_100_100_os//solve17_sequences.csv
69;539.943842294;-5543;-2235;-2486;28;14;../results/snrpa_100_2_1_100_100_os//solve69_sequences.csv
43;631.904667241;-6082;-1952;-1490;28;14;../results/snrpa_100_2_1_100_100_os//solve43_sequences.csv
57;552.726343842;-5392;-3048;-3028;44;22;../results/snrpa_100_2_1_100_100_os//solve57_sequences.csv
31;799.91151509;-5757;-2208;-1441;44;22;../results/snrpa_100_2_1_100_100_os//solve31_sequences.csv
35;334.775753779;-5320;-4221;-5145;32;16;../results/snrpa_100_2_1_100_100_os//solve35_sequences.csv
82;675.6428402;-6181;-2872;-1585;52;26;../results/snrpa_100_2_1_100_100_os//solve82_sequences.csv
70;415.544891647;-5556;-3759;-3817;32;16;../results/snrpa_100_2_1_100_100_os//solve70_sequences.csv
59;874.558880735;-6329;-2518;-401;116;58;../results/snrpa_100_2_1_100_100_os//solve59_sequences.csv
36;426.472540443;-4967;-3945;-4249;58;29;../results/snrpa_100_2_1_100_100_os//solve36_sequences.csv
44;632.707685638;-6106;-2761;-1977;74;37;../results/snrpa_100_2_1_100_100_os//solve44_sequences.csv
32;614.556834587;-5991;-4079;-1743;106;53;../results/snrpa_100_2_1_100_100_os//solve32_sequences.csv
83;350.727552697;-5455;-3778;-4512;28;14;../results/snrpa_100_2_1_100_100_os//solve83_sequences.csv
71;324.698964695;-4599;-2931;-4682;26;13;../results/snrpa_100_2_1_100_100_os//solve71_sequences.csv
58;712.087529272;-6183;-3242;-1117;66;33;../results/snrpa_100_2_1_100_100_os//solve58_sequences.csv
18;829.004203295;-6339;-1487;-850;40;20;../results/snrpa_100_2_1_100_100_os//solve18_sequences.csv
87;337.573927333;-4953;-3757;-4921;48;24;../results/snrpa_100_2_1_100_100_os//solve87_sequences.csv
93;288.815154385;-4526;-3225;-4926;24;12;../results/snrpa_100_2_1_100_100_os//solve93_sequences.csv
72;590.078729812;-6095;-1688;-1038;26;13;../results/snrpa_100_2_1_100_100_os//solve72_sequences.csv
84;657.899889858;-5776;-1946;-1809;30;15;../results/snrpa_100_2_1_100_100_os//solve84_sequences.csv
45;732.210857109;-6178;-1224;-889;44;22;../results/snrpa_100_2_1_100_100_os//solve45_sequences.csv
60;832.240256666;-6364;-1263;-627;38;19;../results/snrpa_100_2_1_100_100_os//solve60_sequences.csv
19;686.258027151;-6229;-2322;-1422;58;29;../results/snrpa_100_2_1_100_100_os//solve19_sequences.csv
33;769.354105647;-5970;-1819;-1221;30;15;../results/snrpa_100_2_1_100_100_os//solve33_sequences.csv
61;381.915539693;-5352;-3587;-3970;32;16;../results/snrpa_100_2_1_100_100_os//solve61_sequences.csv
88;883.965196774;-6486;-1680;-511;38;19;../results/snrpa_100_2_1_100_100_os//solve88_sequences.csv
46;459.163546089;-5832;-3056;-2893;30;15;../results/snrpa_100_2_1_100_100_os//solve46_sequences.csv
73;540.938047973;-5919;-3895;-3076;64;32;../results/snrpa_100_2_1_100_100_os//solve73_sequences.csv
20;437.786611774;-5473;-3941;-4158;46;23;../results/snrpa_100_2_1_100_100_os//solve20_sequences.csv
94;875.477643754;-6415;-477;-199;26;13;../results/snrpa_100_2_1_100_100_os//solve94_sequences.csv
74;572.106799853;-5657;-2246;-2468;28;14;../results/snrpa_100_2_1_100_100_os//solve74_sequences.csv
48;399.708505214;-5538;-3826;-3680;50;25;../results/snrpa_100_2_1_100_100_os//solve48_sequences.csv
21;410.295514936;-5969;-4482;-4027;34;17;../results/snrpa_100_2_1_100_100_os//solve21_sequences.csv
85;970.544880211;-6475;-1579;-344;54;27;../results/snrpa_100_2_1_100_100_os//solve85_sequences.csv
89;626.659259888;-5997;-2243;-1433;38;19;../results/snrpa_100_2_1_100_100_os//solve89_sequences.csv
86;781.766051014;-6191;-1611;-812;52;26;../results/snrpa_100_2_1_100_100_os//solve86_sequences.csv
47;786.122488026;-6262;-1001;-792;24;12;../results/snrpa_100_2_1_100_100_os//solve47_sequences.csv
95;798.58814039;-6306;-715;-346;38;19;../results/snrpa_100_2_1_100_100_os//solve95_sequences.csv
90;451.76633451;-5553;-3682;-3265;54;27;../results/snrpa_100_2_1_100_100_os//solve90_sequences.csv
49;700.211694448;-5952;-2583;-1458;50;25;../results/snrpa_100_2_1_100_100_os//solve49_sequences.csv
23;412.267993113;-5549;-3209;-3725;42;21;../results/snrpa_100_2_1_100_100_os//solve23_sequences.csv
22;589.187546566;-6196;-3233;-1842;34;17;../results/snrpa_100_2_1_100_100_os//solve22_sequences.csv
91;574.902580804;-5819;-3611;-2180;86;43;../results/snrpa_100_2_1_100_100_os//solve91_sequences.csv
96;399.799880343;-5464;-2714;-2776;32;16;../results/snrpa_100_2_1_100_100_os//solve96_sequences.csv
98;419.276277233;-5516;-2293;-2620;26;13;../results/snrpa_100_2_1_100_100_os//solve98_sequences.csv
24;489.015945142;-6238;-2813;-1407;44;22;../results/snrpa_100_2_1_100_100_os//solve24_sequences.csv
99;545.59520118;-5903;-2328;-1720;50;25;../results/snrpa_100_2_1_100_100_os//solve99_sequences.csv
92;698.026911434;-6216;-3431;-1670;82;41;../results/snrpa_100_2_1_100_100_os//solve92_sequences.csv
97;461.354634881;-6148;-1042;-602;26;13;../results/snrpa_100_2_1_100_100_os//solve97_sequences.csv
