run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
85;3858.744816075;-6262;-3102;-649;88;22
30;3720.698614347;-5548;-4575;-1648;180;45
154;5222.291443765;-5871;-4280;-788;152;38
86;5108.215732381;-5902;-2380;-655;112;28
31;3462.358568624;-5622;-4367;-1603;92;23
87;1328.84619236;-5002;-4614;-2928;100;25
32;1881.252961452;-5348;-4288;-2321;88;22
124;7820.046753783;-6413;-1570;-158;136;34
155;4979.205235041;-6462;-1515;-331;92;23
89;1719.249571322;-5634;-5110;-2207;96;24
88;5355.314925562;-6318;-4135;-598;140;35
156;3013.641346978;-6039;-3387;-990;100;25
33;6843.124493406;-6376;-2835;-248;144;36
157;3489.592689579;-5191;-4354;-1661;168;42
90;7685.68638501;-6527;-3075;-97;172;43
46;6091.061153285;-6475;-1819;-203;124;31
34;4983.011833362;-6080;-3553;-1044;136;34
91;3853.170917432;-5117;-3158;-1527;128;32
158;5250.582084688;-5818;-4417;-880;184;46
159;3113.394375835;-5688;-3454;-1607;96;24
35;5514.010493286;-5958;-3572;-1088;164;41
92;4177.078315279;-6055;-1727;-531;76;19
47;9382.43239295;-6371;-2664;-247;188;47
36;6221.262058965;-6300;-4512;-1134;164;41
48;3406.296829943;-6031;-2740;-801;92;23
38;5959.524741031;-6049;-2445;-517;148;37
49;2695.715900801;-5642;-5173;-1878;136;34
160;9644.535031501;-6441;-3077;-198;224;56
39;3863.74855211;-6160;-4444;-1004;144;36
37;5391.960516269;-6466;-711;-114;80;20
50;5289.669198594;-6457;-972;-106;88;22
161;4948.395313572;-6415;-2183;-467;108;27
54;3726.659432214;-6050;-4294;-910;120;30
51;2832.688958847;-5778;-2979;-1370;80;20
162;3089.168793899;-5910;-4801;-1004;120;30
40;7035.589713489;-6095;-3313;-685;200;50
55;3031.709187815;-5868;-3691;-1424;120;30
52;3124.277063101;-5684;-1577;-635;84;21
163;3048.267339521;-5569;-3393;-1272;100;25
41;3299.508135225;-6013;-3705;-989;96;24
53;1517.873415767;-5349;-4933;-2445;76;19
56;3543.264571791;-5758;-2771;-945;88;22
42;2053.598861109;-4708;-4209;-2787;124;31
43;1485.998948143;-5071;-4297;-2466;88;22
57;4353.352045307;-6159;-3974;-597;144;36
44;3045.556118498;-5847;-3639;-1098;100;25
45;1987.91456018;-5701;-4329;-2045;84;21
187;10906.981835529;-6301;-2706;-272;232;58
164;12146.714695712;-6432;-2413;-122;220;55
58;7984.083462871;-6515;-2007;-90;156;39
171;4986.531974448;-6108;-3456;-768;164;41
172;2490.90712397;-5239;-4232;-1768;112;28
59;3421.743817174;-6196;-4599;-805;128;32
165;4921.833426974;-6043;-3261;-851;156;39
173;1989.923095921;-5603;-4739;-1696;100;25
188;7093.089052038;-6172;-2475;-487;160;40
166;4302.180815718;-5363;-4218;-1373;152;38
174;3154.247970642;-5258;-2652;-1371;80;20
167;2025.888041086;-5414;-4081;-1957;80;20
60;6504.122195071;-6177;-3677;-551;152;38
189;7202.722978907;-6138;-3236;-643;176;44
168;3937.769909354;-6391;-828;-216;80;20
175;6435.01745989;-6154;-3315;-558;164;41
61;6618.175154385;-6307;-1783;-339;124;31
190;4308.968762613;-5990;-5283;-982;152;38
169;3400.210308404;-5956;-3009;-1183;112;28
176;3340.993030513;-5619;-2903;-1304;92;23
218;2670.342311921;-5684;-3413;-1248;80;20
219;945.433576441;-5098;-4322;-3048;76;19
177;2733.72250937;-5740;-3687;-1256;104;26
170;5200.502034931;-5945;-3153;-966;132;33
191;5637.74629803;-5982;-3359;-713;136;34
220;4675.873298255;-6493;-888;-103;76;19
178;5715.629086708;-6359;-1549;-214;104;26
192;5535.837892689;-5842;-3587;-805;156;39
179;7286.209140267;-6355;-3525;-383;172;43
234;3549.205198839;-6032;-2299;-655;88;22
235;2194.263615784;-5418;-3614;-1810;80;20
193;3975.721055031;-6016;-4145;-1210;116;29
221;8255.617965469;-6437;-5063;-312;196;49
236;4049.632688404;-5920;-3938;-886;124;31
194;3867.760023155;-5188;-3534;-1540;128;32
180;8056.688948679;-6255;-4276;-438;220;55
195;1793.182759683;-5071;-4810;-2254;112;28
222;5702.71539568;-5645;-4198;-918;196;49
237;3521.123969259;-6071;-3804;-907;108;27
223;1228.30388339;-5474;-4619;-2491;68;17
181;4238.835880928;-5532;-3080;-1187;120;30
238;2782.838267926;-5540;-4342;-2152;104;26
196;6794.517299133;-6288;-3223;-395;156;39
239;2670.770141235;-5251;-4685;-1783;124;31
182;3655.792735564;-6083;-2862;-865;100;25
224;5966.439021705;-6519;-1031;-123;92;23
197;3113.133695479;-6167;-2241;-725;88;22
183;3554.754116563;-6391;-1254;-307;68;17
198;3117.74187541;-6062;-4535;-876;140;35
225;5662.318058522;-6242;-4078;-760;148;37
240;6887.782425454;-6011;-3861;-672;180;45
199;1929.018358382;-4872;-3977;-2339;88;22
226;1576.556169618;-4606;-3972;-2813;100;25
184;4226.09065147;-6213;-3181;-827;108;27
241;1923.949751601;-5186;-4420;-2283;104;26
242;3021.594158694;-5833;-4028;-1278;132;33
185;4449.014207139;-6490;-2516;-288;100;25
243;2543.007744668;-5647;-5010;-1768;128;32
244;2148.912855011;-5221;-3508;-2175;80;20
227;8399.448436415;-6284;-2205;-247;156;39
200;10427.561280695;-6013;-2271;-398;204;51
245;2043.624088515;-4998;-3832;-2561;88;22
186;6162.550262147;-6051;-2921;-561;136;34
201;1314.392940828;-4506;-4126;-3048;100;25
228;4541.304950983;-5574;-4414;-1513;176;44
246;3504.559113063;-5904;-4393;-1386;148;37
248;4799.425172282;-6310;-3385;-500;112;28
247;3060.268961786;-5966;-4814;-978;108;27
249;1739.740009502;-5320;-4639;-2197;88;22
229;6032.775100993;-6522;-360;-43;104;26
202;11095.052617354;-6331;-2810;-134;216;54
210;5969.05834042;-6047;-3560;-525;136;34
230;6114.090947093;-5918;-3689;-894;176;44
203;1649.120307144;-5472;-4392;-2555;72;18
211;1458.328506994;-5505;-4515;-2135;68;17
232;6736.890908328;-6263;-2529;-489;140;35
212;3879.132085834;-5581;-3380;-1270;120;30
231;5040.301757379;-6351;-1215;-272;92;23
233;4138.375673331;-6493;-1028;-146;64;16
213;1816.060371478;-5281;-3701;-2153;88;22
204;6374.252468635;-6233;-2277;-474;136;34
208;2123.633719844;-5104;-3940;-2053;116;29
206;6601.275885806;-6088;-2775;-561;156;39
205;6075.954971464;-5787;-3866;-1041;180;45
209;6035.812578899;-5875;-4568;-858;172;43
214;8809.517016521;-6215;-4538;-363;216;54
207;4497.646401727;-5757;-4149;-1099;132;33
216;5777.997021948;-5578;-4704;-1033;192;48
217;5039.722882632;-6401;-1367;-168;84;21
215;5735.569368683;-6373;-1731;-263;108;27
