run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
75;3123.208016258;-4965;-3570;-3903;38;19
43;3790.75960626;-5395;-4623;-3954;52;26
31;4021.216281573;-5798;-4467;-2815;40;20
12;4358.344291294;-5859;-3511;-2728;32;16
76;3706.868217669;-5434;-5099;-3901;44;22
62;7529.463959966;-6004;-2891;-1625;50;25
6;7537.177835168;-5967;-4323;-1850;60;30
37;7716.705566602;-6274;-1726;-604;36;18
44;4009.330841018;-4902;-3662;-4164;38;19
87;9306.858430098;-6168;-2830;-949;50;25
50;11118.015735662;-6063;-2871;-1027;56;28
7;6948.958417993;-6521;-232;-65;22;11
38;7305.107468995;-6070;-4404;-1731;52;26
0;15351.644562185;-6320;-864;-172;58;29
77;8541.182102335;-5763;-4531;-2374;64;32
88;8965.217362238;-6071;-2668;-1188;42;21
18;20453.228955152;-6476;-972;-78;70;35
13;16105.733016327;-6411;-2534;-563;58;29
32;16763.123388557;-6214;-1942;-540;66;33
45;15591.914322236;-6489;-2989;-348;62;31
78;8121.602851289;-6263;-2737;-1696;38;19
19;3158.733575562;-4874;-4467;-4944;42;21
51;13047.777796289;-5921;-4440;-2007;70;35
8;10167.38440526;-6097;-3287;-1487;42;21
39;11002.223958174;-5969;-4720;-2073;72;36
20;3064.627143562;-5349;-4809;-5013;42;21
63;19297.91486939;-6238;-2636;-548;74;37
25;27329.266446982;-6579;-2069;-11;90;45
14;8245.367614573;-6027;-2329;-1390;38;19
33;8769.442721559;-5756;-3968;-2669;52;26
79;7289.105734467;-5621;-4234;-2936;50;25
26;3744.525981835;-5565;-4723;-4812;48;24
46;7840.347191013;-6083;-3783;-1642;44;22
9;8659.56645027;-6067;-3762;-2611;56;28
34;3879.976559552;-5639;-4949;-4138;38;19
52;12912.57996855;-6045;-3406;-1397;70;35
15;8373.445862967;-5302;-3671;-2675;50;25
89;18967.834741061;-6212;-4057;-913;86;43
21;10754.919333906;-6324;-2160;-675;42;21
80;6983.884897802;-5159;-3153;-3194;40;20
1;23306.628372668;-6359;-3288;-277;88;44
90;2105.459959373;-4890;-4636;-6088;34;17
10;6691.555632239;-5426;-3564;-3103;40;20
27;9013.574869955;-5841;-4357;-2327;56;28
64;13551.972826081;-6117;-3569;-1233;70;35
16;4757.195187285;-5769;-4968;-3573;46;23
22;5661.74546087;-5294;-4296;-3561;54;27
28;3877.570522674;-4704;-4149;-4551;40;20
2;5905.761193818;-5962;-4638;-2400;44;22
53;7581.509044748;-6122;-5774;-2937;58;29
40;20780.203946985;-6119;-5640;-608;104;52
35;14398.268498893;-5872;-3479;-1162;64;32
91;9329.315954019;-6170;-4682;-1489;62;31
65;9441.845206339;-5649;-3501;-2068;56;28
81;12433.539099833;-6318;-2441;-864;48;24
11;10542.818561584;-6153;-3103;-815;50;25
23;9092.450791422;-6194;-4725;-1325;52;26
68;2845.489689965;-4879;-4425;-5343;38;19
54;8865.875292118;-6099;-2837;-1557;44;22
47;23393.663959341;-6477;-2486;-204;84;42
3;10236.948675572;-5865;-3341;-2079;58;29
17;13344.933792679;-6349;-2126;-408;50;25
29;13298.813190562;-5938;-5275;-1662;82;41
69;4162.950401789;-4769;-3956;-4576;38;19
92;9058.976034725;-6002;-2289;-1157;44;22
36;11111.862814822;-6193;-5101;-1217;66;33
84;5209.979454283;-5254;-4921;-4284;56;28
48;6010.303277042;-5633;-5041;-3577;56;28
24;9217.496352689;-6082;-3174;-1640;50;25
49;1923.763876881;-4754;-4518;-5693;30;15
70;5140.255952554;-5503;-4967;-3463;48;24
55;9710.6474216;-5489;-4158;-2362;66;33
82;13101.908951573;-5963;-4585;-1320;66;33
41;18151.783966133;-6292;-4680;-777;84;42
96;6803.791587694;-6028;-3768;-2080;46;23
85;7184.985229091;-5879;-3928;-2087;42;21
30;10500.366192593;-5934;-4941;-1644;64;32
4;13452.908886052;-5690;-4771;-1963;76;38
83;6513.814495619;-5781;-4796;-3083;68;34
93;12945.437998088;-6025;-4145;-1733;72;36
5;9546.321687807;-6103;-4600;-1521;76;38
42;9258.97742893;-5847;-5490;-2384;68;34
60;6606.83702725;-5498;-3457;-2769;40;20
71;14119.093849347;-6160;-3755;-947;64;32
66;27042.012306782;-6421;-3892;-406;116;58
74;8731.477428351;-6094;-2048;-1049;40;20
97;13045.950687545;-6017;-4450;-1286;72;36
59;11287.150088167;-6122;-3569;-1022;54;27
73;12139.505917153;-6365;-1907;-661;48;24
56;17192.17041389;-6300;-3904;-304;76;38
95;7508.807499784;-5832;-5204;-2190;60;30
86;19176.894494126;-6495;-1299;-117;60;30
61;11641.401355357;-6053;-5587;-2327;82;41
72;5791.114021806;-5802;-4222;-2777;46;23
98;10600.514333796;-6073;-2930;-1109;48;24
58;8335.892064763;-5724;-4805;-2487;60;30
94;23412.317857543;-6491;-3437;-308;82;41
67;17957.477431261;-6310;-5660;-728;106;53
99;17994.005617817;-6257;-5671;-488;94;47
57;18327.460025917;-6477;-1817;-269;72;36
